,canon_smi,pX,source,is_train
0,C#CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-c2c1sc(=O)n2C,5.0726296369609765,reaxys,True
1,C#CCn1ncc(Nc2ccc(CN)cc2)c(Cl)c1=O,4.1487416512809245,reaxys,True
2,C=C(C)CC1(O)C(=O)Nc2ccc(-c3c(C)noc3C)cc21,5.4089353929735005,reaxys,True
3,C=C1NC(c2cccnc2)=NC2=C1Cc1cc(C)ccc1O2,5.153044674980176,reaxys,True
4,C=CC(=O)N(C)c1cc(O)cc(C(=O)c2ccccc2)c1,5.181255135243745,reaxys,True
5,C=CC(=O)N(C)c1cccc(C(O)c2ccccc2)c1,5.205584137202896,reaxys,True
6,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,4.301029995663981,reaxys,True
7,C=CC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1,5.2225731776106885,reaxys,True
8,C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1,4.431798275933005,reaxys,True
9,C=CCNC(=O)C1=C(C)Nc2c(c(=O)[nH]c(=O)n2CC)C1c1ccc(C)cc1,4.7447274948966935,reaxys,True
10,C=CCc1ccc2c(C)ccc(O)c2n1,4.7447274948966935,reaxys,True
11,C=CCn1c(Sc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nnc1-c1cccs1,5.236572006437063,reaxys,True
12,C=CCn1cc(C(=O)N(C)C2CCN(C(C)c3ccccc3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
13,C=CCn1cc(C(=O)N(C)C2CCN([C@@H](C)c3ccccc3)CC2)c2cc(C)[nH]c2c1=O,4.698970004336019,reaxys,True
14,C=CCn1cc(C(=O)N(C)C2CCN([C@H](C)c3ccccc3)CC2)c2cc(C)[nH]c2c1=O,4.698970004336019,reaxys,True
15,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4cccc(OC)c4)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
16,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccccc4C)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
17,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccccc4F)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
18,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccccc4OC)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
19,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccco4)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
20,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-n4cccn4)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
21,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C(C)(C)C)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
22,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C(F)(F)F)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
23,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C)nc(C)n3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
24,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C4CC4)nc(C)n3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
25,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(C4CC4)ncn3)CC2)c2cc[nH]c2c1=O,4.698970004336019,reaxys,True
