"BM","Dataset","centroid"
"c1ccc(C2CC2)cc1","Preclinic & Market","True"
"c1ccc(C2(Nc3ncccn3)CC2)cc1","Preclinic & Market","True"
"O=C(NCCCNC1CCCCC1)[C@H]1C[C@@H]1c1ccccc1","Preclinic & Market","True"
"O=C(NC1CCCCC1)C1(c2ccccc2)CC1","Preclinic & Market","True"
"O=C(Nc1ccccc1)C1CC1","Preclinic & Market","True"
"c1ccc(CN[C@H]2C[C@@H]2c2ccccc2)cc1","Preclinic & Market","True"
"N=C(c1ccccc1)C1CC1c1ccccc1","Preclinic & Market","True"
"O=C(NCC1(Sc2ccccc2)CC1)c1ccc(=O)[nH]n1","Preclinic & Market","True"
"O=C(Nc1cccnc1)N(Cc1ccco1)C1CC1","Preclinic & Market","True"
"O=C(c1ccc2ccccc2c1)N(Cc1ccccc1)C1CC1","Preclinic & Market","True"
"O=C(N[C@H](c1ncccn1)C1CC1)c1cncs1","Preclinic & Market","True"
"c1ccc2c(c1)CCCC2CCC1CC1","Preclinic & Market","True"
"c1ccc2[nH]c(C3CC3c3ccc4c(c3)OCO4)nc2c1","Preclinic & Market","True"
"c1ccc(CNCC[C@H]2C[C@@H]2c2c[nH]cn2)cc1","Preclinic & Market","True"
"O=C(Nc1ccc2ocnc2c1)N[C@H]1C[C@@H]1c1ccccc1","Preclinic & Market","True"
"c1cncc(-c2ccc([C@H]3C[C@@H]3NC3CCCCC3)cc2)c1","Preclinic & Market","True"
"C1=N[C@@H](CCC2(c3ccccc3)CC2)CO1","Preclinic & Market","True"
"c1ccc2c(c1)CC(NC1CC1)C2","Preclinic & Market","True"
"O=C(NCC(c1cccs1)C1CC1)NC1CCCCC1","Preclinic & Market","True"
"O=C(N/N=C/c1ccccc1)[C@@H]1C[C@H]1c1ccccc1","Preclinic & Market","True"
"O=C([C@H]1CC1c1ccccc1)N1CCN(C2CCC2)CC1","Preclinic & Market","True"
"N=C(NC1C[C@H]1c1ccccc1)NC12CC3CC(CC(C3)C1)C2","Preclinic & Market","True"
"c1csc(CC2CC2)n1","Preclinic & Market","True"
"O=C(CCc1cccs1)NC1CC1c1ccccc1","Preclinic & Market","True"
"O=C(C1CC1c1cccnc1)C12CC3CC(CC(C3)C1)C2","Preclinic & Market","True"
"c1ccc([C@H]2C[C@@H]2c2cncs2)cc1","Preclinic & Market","True"
"O=c1oc2ccccc2n1CN(Cc1ccccc1)C1CC1","Preclinic & Market","True"
"O=C(NCC1(c2ccccc2)CC1)c1ccncc1","Preclinic & Market","True"
"O=S(=O)(N/N=C/C1(c2ccccc2)CC1)c1ccccc1","Preclinic & Market","True"
"O=C(CCc1ccsc1)NC1CC1","Preclinic & Market","True"
"O=C(NC1CC1Cc1ccccc1)[C@@H]1CCCN1","Preclinic & Market","True"
"c1csc(C2(c3c[nH]c4ccccc34)CC2)c1","Preclinic & Market","True"
"c1ccc2c(CCCC3CC3)c[nH]c2c1","Preclinic & Market","True"
"c1ccc(C2CC2CNCc2cccnc2)cc1","Preclinic & Market","True"
"O=C(CSCc1ccccn1)N(Cc1ccsc1)C1CC1","Preclinic & Market","True"
"c1cn(CC2(CNCC3CCCN4CCCC[C@H]34)CC2)cn1","Preclinic & Market","True"
"O=C(N1CCNCC1)C1(c2ccccc2)CC1c1ccccc1","Preclinic & Market","True"
"O=C(NCC1CCCO1)C1CC1(c1ccccc1)c1ccccc1","Preclinic & Market","True"
"O=C(Cc1nc2ncccn2n1)N[C@H](c1ccccc1)C1CC1","Preclinic & Market","True"
